1，000，000☆スマイル
Be with you
BELIEVE IN LOVE
BELIEVER
Catch The Dream
Dear～未来の地図～
Don't Stop The Party
DREAM SEEKER
EveryBody JUMP!!
EXIT
Girl's Party-my friend Jenny-
Give me Love me!チョコ
GLORY
Happy GO Lucky!～ハピ☆ラキでゴー!～
Happy×2 Birthday
Hero
It's only you
JOY! & JOY!!
LETTER ～10年後のワタシへ～
MAX!乙女心
MAX!乙女心(Switch Vocal ver.)
My dream
NIJIIROスター☆(超絶バージョン)
NIJIIRO涙。。。
NIJI色SKY
PAN-PAKA-PAN![Song by iDOL Street All Members]
Please stay with me
POP!! POP!! POP!!
Rave Together!!!
Survival
THE ロッキュYOU★～キミがくれた証～
WAKE UP!～オンナノコのチカラ～
White Melody
赤い情熱
明日へSTEP!-SUPER☆GiRLSバージョン-
アジアの純真
汗と涙のシンデレラストーリー
新しい朝に吹く風は
アッハッハ!～超絶爆笑音頭～
いそいでアダム
イッチャって♪ ヤッチャって♪
笑顔がぽろり
笑顔の羽根
おもいでアップデート
片想いのシンデレラ
華麗なるV!CTORY
感情キャンバス
がんばって 青春
絆デイズ(超絶バージョン)
キラキラ☆Sunshine
キラ・ピュア・POWER!
ギラギラRevolution
クラムチャウダーが冷めちゃう月曜日
恋☆煌メケーション!!!
恋してYES～これが私のアイドル道～
恋は初心者マーク
コングラCHUレーション!!!!
ごめんね。のとなりで
「サヨナラ」なんて
シアワセワンダーランド
シェルターなんかいらない
純情シンデレラ
情熱RUNNER
女子力←パラダイス
女子力←パラダイス 2019
スイート☆スマイル
青春キラリ
絶対自分前進宣言!
空色のキセキ
太陽の雫
旅立ちのうた
ときめき色の風とキミ
ときめきHighレンジ!!!
常夏ハイタッチ
トリビュート
ナツカレ★バケーション
虹色ダイヤ～スパガのテーマ～
ハッピー・サークル・ストリート(Song by iDOL Street All Members)
初恋グラフィティ
初恋☆ラビリンス
花道!!ア～ンビシャス
ばぶりんスカッシュ!
ひかりの季節
飛行機雲、いつか
プリプリ■SUMMERキッス
星屑ラブソング
☆マカロニマカロン☆
南風パヤパヤ
みらくるが止まンないっ!
夢限大FOREVER
夢中マテリアル
胸キュンLove Song
メガ★トゥインクル
約束の花束
夕焼け空に、また明日。
夢の引力
夜空にMerryX'mas
ラブサマ!!!
恋愛マニフェスト
恋愛ルール
わがまま GiRLS ROAD
忘れ桜
