12月31日
2番目のドア
Don't look back!
HA!
HA!(NMB48バージョン)
Must be now
NMB48
Which one
捕食者たちよ
甘噛み姫
一週間、全部が月曜日ならいいのに
イビサガール
インゴール
俺らとは
オーマイガー!
片想いよりも思い出を…
カモネギックス
がっつきガールズ
北川謙二
君と出会って僕は変わった
サササ サイコー!
さや姉
しがみついた青春
時間は語り始める
ジュゴンはジュゴン
純情U-19
青春のラップタイム
“生徒手帳の写真は気に入っていない”の法則
絶滅黒髪少女
卒業旅行
高嶺の林檎
抱きしめたいけど
太宰治を読んだか?
ちょっと猫背
てっぺんとったんで!
床の間正座娘
途中下車
届かなそうで届くもの
友達
どうでもいい人仮面
道頓堀よ、泣かせてくれ!
ドリアン少年
ナギイチ
なめくじハート
なんでやねん、アイドル
難波愛
初恋至上主義
パンキッシュ
パンパン パパパン
下手を打つ
僕以外の誰か
僕だけの君でいて欲しい
僕だって泣いちゃうよ
僕はいない
僕は待ってる
僕らのユリイカ
母校へ帰れ!
まさかシンガポール
真夜中の強がり
妄想ガールフレンド
やさしさの稲妻
欲望者
らしくない
ワロタピーポー
ヴァージニティー
