”MY LIST” to you!
Aqours☆HEROES
Brightest Melody
Dance with Minotaurus
Deep Resonance
HAPPY PARTY TRAIN
Hop? Stop? Nonstop!
Jump up HIGH!!
KOKORO Magic“A to Z”
Landing action Yeah!!
MIRACLE WAVE
MIRAI TICKET
MIRAI TICKET(TVサイズ)
MY 舞☆TONIGHT
Next SPARKLING!!
No.10
SKY JOURNEY
Step! ZERO to ONE
Thank you， FRIENDS!!
Wake up， Challenger!!
WATER BLUE NEW WORLD
WONDERFUL STORIES
“MY LIST”to you!
青空Jumping Heart(TVサイズ)
青空Jumping Heart
想いよひとつになれ
君のこころは輝いてるかい?
君の瞳を巡る冒険
決めたよ Hand in Hand
サンシャインぴっかぴか音頭
少女以上の恋がしたい
ジングルベルがとまらない
聖なる日の祈り
ダイスキだったらダイジョウブ!
ハミングフレンド
ホップ・ステップ・ワーイ!
僕らの走ってきた道は…
未熟DREAMER
未熟DREAMER(TVサイズ)
未体験HORIZON
未来の僕らはしってるよ
未来の僕らは知ってるよ
勇気はどこに?君の胸に!
ユメ語るよりユメ歌おう
ユメ語るよりユメ歌おう(TVサイズ)
夢で夜空を照らしたい
