4の歌
Amore-蒼星(アオボシ)-
Arkadia
BABYMETAL DEATH
Brand New Day (feat. Tim Henson and Scott LePage)
BxMxC
Catch me if you can
DA DA DANCE (feat. Tak Matsumoto)
Distortion
Distortion(feat.Alissa White-Gluz)
Elevator Girl
FUTURE METAL
GJ!(グッジョブ)
IN THE NAME OF
Kagerou
KARATE
META!メタ太郎
Night Night Burn!
NO RAIN，NO RAINBOW
Oh! MAJINAI (feat. Joakim Brodén)
PA PA YA!! (feat. F.HERO)
Road of Resistance
Shanti Shanti Shanti
Shine
Sis.Anger(シスターアンガー)
Starlight
Tales of The Destinies
THE ONE
↑↓←→BBAB
紅月-アカツキ-
悪夢の輪舞曲
あわだまフィーバー
いいね!
イジメ、ダメ、ゼッタイ
ウ・キ・ウ・キ★ミッドナイト
おねだり大作戦
ギミチョコ!!
シンコペーション
ド・キ・ド・キ☆モーニング
ヘドバンギャー!!
メギツネ
ヤバッ!
